n,Rare trajectory?,Return,Time,Positions
34,True,-4.502317015541288,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -1, -2, -1, 0, -1, 0, -1, 0, 1, 2, 1, 2, 1, 0, -1, 0)"
35,False,-5.529706164422061,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, 1, 0, 1, 2, 3, 2, 1, 2)"
36,False,-5.4247313156687165,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -1, 0, 1, 2, 1, 0, 1, 2, 3, 2, 1, 2, 3, 2)"
37,False,-5.952194212568691,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, -2, -1, -2, -3, -4, -5, -6, -5, -4, -3, -4, -5, -4, -3, -2)"
38,False,-5.761770106797168,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -3, -2, -1, 0, 1, 0, 1, 0, -1, -2, -1, -2, -3, -2)"
39,False,-15.920231024050391,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, 1, 0, 1, 0, 1, 0, -1, 0, 1, 2, 3, 2, 3, 2, 3, 4)"
40,True,-2.947745332025667,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, 0, 1, 0, 1, 2, 1, 2, 1, 0, 1, 2, 1, 0, -1, 0)"
41,True,-2.9528835261710027,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -3, -4, -3, -4, -5, -6, -5, -4, -3, -2, -1, 0, -1, 0)"
42,True,-3.4555008773637157,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, 0, -1, 0, 1, 0, -1, 0, -1, 0, 1, 2, 3, 2, 1, 0)"
43,False,-5.87000347414471,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -1, -2, -3, -2, -1, 0, -1, -2, -1, -2, -1, 0, -1, 0, -1, -2)"
44,True,-0.5162866032142632,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, -2, -1, -2, -3, -2, -3, -2, -3, -2, -1, 0, -1, 0, 1, 0, -1, 0)"
45,True,-3.7169862712021184,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 1, 0, -1, -2, -3, -2, -1, 0, -1, -2, -3, -2, -1, 0, -1, 0, -1, 0)"
46,True,-1.7423627079784056,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, -1, -2, -3, -2, -1, -2, -1, 0, 1, 2, 3, 2, 1, 2, 1, 0)"
47,False,-4.332756890336872,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, -1, 0, -1, 0, 1, 0, -1, 0, -1, 0, -1, -2, -3, -2)"
48,True,-1.946303206918964,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 2, 3, 2, 3, 4, 3, 4, 5, 6, 5, 4, 3, 2, 3, 2, 1, 0)"
